place_coordinates_id,place_id,latitude,longitude,ym_geocode
2253,51181,53.941750,37.701915,"Россия, Тульская область, Киреевский район, Липки"
2860,51193,53.221004,50.634394,"Россия, Самарская область, Кинель"
2646,51195,54.959930,20.475354,"Россия, Калининградская область, Зеленоградск"
2356,51202,55.798551,49.106324,"Россия, Республика Татарстан, Казань"
2252,51204,44.597641,132.817559,"Россия, Приморский край, Спасск-Дальний"
2251,51259,62.780526,148.154037,"Россия, Магаданская область, Сусуман"
2250,51281,65.537708,72.518325,"Россия, ЯНАО, Надым"
2249,51437,53.710548,91.687250,"Россия, Красноярский край, Минусинск"
2402,51453,54.387809,20.637051,"Россия, Калининградская область, Багратионовск"
1984,51462,43.773167,41.914313,"Россия, Карачаево-Черкесская Республика, Карачаевск"
1983,51480,43.474125,41.742483,"Россия, Карачаево-Черкесская Республика, Теберда"
2371,51670,54.507014,36.252277,"Россия, Калуга"
2645,51681,54.222727,55.031270,"Россия, Республика Башкортостан, Давлеканово"
2248,51732,58.609451,125.381673,"Россия, Республика Саха (Якутия), Алдан"
2247,51830,52.929130,33.454267,"Россия, Брянская область, Почеп"
2422,52092,46.959179,142.738041,"Россия, Сахалинская область, Южно-Сахалинск"
1982,52432,55.758281,37.861968,"Россия, Московская область, Реутов"
2063,52593,55.314146,89.833352,"Россия, Красноярский край, Ужур"
2401,52676,59.772605,30.798766,"Россия, Ленинградская область, Кировский район, Отрадненское городское поселение, Отрадное"
2062,52682,56.151362,101.634080,"Россия, Иркутская область, Братск"
2061,52801,52.752816,32.233861,"Россия, Брянская область, Клинцы"
2202,52870,57.145739,33.111632,"Россия, Тверская область, Осташков"
2201,53030,57.027394,40.377610,"Россия, Ивановская область, Комсомольск"
2372,53113,54.707390,20.507307,"Россия, Калининград"
2200,53228,45.129648,42.028785,"Россия, Ставропольский край, Шпаковский район, Михайловск"
2198,53571,44.132038,43.030551,"Россия, Ставропольский край, Железноводск"
2377,53608,42.983060,47.504682,"Россия, Республика Дагестан, Махачкала"
2400,53753,47.762214,142.061627,"Россия, Сахалинская область, Томари"
2408,53930,64.731434,177.501522,"Россия, Чукотский автономный округ, Анадырь"
2244,53997,55.957686,92.380103,"Россия, Красноярский край, Дивногорск"
1981,54217,56.247021,42.158862,"Россия, Владимирская область, Вязники"
1980,54252,56.202146,42.692614,"Россия, Владимирская область, Гороховец"
2399,54344,65.994144,57.557010,"Россия, Республика Коми, Усинск"
1979,54420,42.824037,132.892811,"Россия, Приморский край, Находка"
2359,54467,56.838607,60.605514,"Россия, Свердловская область, Екатеринбург"
1978,54979,44.554018,135.566179,"Россия, Приморский край, Дальнегорск"
2397,55305,57.847621,61.669506,"Россия, Свердловская область, Алапаевск"
2243,56156,58.448619,92.165163,"Россия, Красноярский край, Енисейск"
2242,56833,43.175598,44.295621,"Россия, Республика Северная Осетия — Алания, Ардон"
2197,56879,44.754471,44.986578,"Россия, Ставропольский край, Нефтекумск"
2241,57018,55.631280,51.814385,"Россия, Республика Татарстан, Нижнекамск"
2240,57246,49.018898,131.053914,"Россия, Еврейская автономная область, Облучье"
2239,57256,55.993837,40.017943,"Россия, Владимирская область, Собинка"
2238,57535,50.860145,39.082347,"Россия, Воронежская область, Острогожск"
1977,57695,61.309276,47.123401,"Россия, Архангельская область, Коряжма"
2370,57890,61.789036,34.359688,"Россия, Республика Карелия, Петрозаводск"
2644,57925,58.658383,37.259091,"Россия, Тверская область, Весьегонск"
2237,58258,56.907593,62.035785,"Россия, Свердловская область, Сухой Лог"
2236,58268,53.454621,56.043923,"Россия, Республика Башкортостан, Ишимбай"
2643,58392,54.428117,50.804958,"Россия, Республика Татарстан, Нурлат"
2196,58427,58.311384,82.902679,"Россия, Томская область, Колпашево"
2014,59282,54.576203,33.179338,"Россия, Смоленская область, Ельня"
2235,59311,48.586586,45.736851,"Россия, Астраханская область, Знаменск"
2642,59407,58.043420,65.274283,"Россия, Свердловская область, Тавда"
2369,59591,58.556046,50.031661,"Россия, Кировская область, Кирово-Чепецк"
2195,60384,53.142810,38.116173,"Россия, Тульская область, Ефремов"
2234,60545,47.409315,47.252058,"Россия, Астраханская область, Харабали"
2013,60712,56.736093,38.854310,"Россия, Ярославская область, Переславль-Залесский"
2396,60747,55.960876,97.820453,"Россия, Иркутская область, Тайшетский район, Бирюсинск"
2233,60829,55.865010,47.472980,"Россия, Чувашская Республика, Цивильск"
2232,60975,45.464113,39.459002,"Россия, Краснодарский край, Кореновск"
2012,61091,43.291711,45.872371,"Россия, Чеченская Республика, Аргун"
2231,61625,55.949879,40.856295,"Россия, Владимирская область, Судогда"
